[0.000000] (-) TimerEvent: {}
[0.000368] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000611] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000705] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000757] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000826] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000937] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001068] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001201] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001270] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001317] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001392] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001433] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001476] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001520] (-) JobUnselected: {'identifier': 'nav2_costmap_filters_demo'}
[0.001561] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001603] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.001648] (-) JobUnselected: {'identifier': 'nav2_gradient_costmap_plugin'}
[0.001696] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001740] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001788] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001836] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001882] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001927] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.001974] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002022] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002068] (-) JobUnselected: {'identifier': 'nav2_sms_behavior'}
[0.002114] (-) JobUnselected: {'identifier': 'nav2_straightline_demo'}
[0.002162] (-) JobUnselected: {'identifier': 'nav2_straightline_planner'}
[0.002220] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.002271] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.002318] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002367] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002419] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002467] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002514] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002561] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.002607] (-) JobUnselected: {'identifier': 'smac_planner'}
[0.002655] (-) EventReactorShutdown: {}
